policy_id,policy_state,vehicle_count,driver_count,prior_claim_count,coverage_limit_bi,coverage_limit_pd,premium_amount,nonstandard_risk_tier
POL100083,NV,1.0,3,0,25000,5000,1099.12,tier_2
POL100084,GA,1.0,1,0,100000,10000,794.59,tier_1
POL100085,TX,3.0,5,0,50000,5000,1564.56,tier_1
POL100086,FL,3.0,3,1,50000,25000,2070.1,tier_3
POL100087,FL,2.0,2,0,25000,25000,1255.56,tier_3
POL100088,TX,3.0,3,0,25000,10000,1403.97,tier_2
POL100089,FL,1.0,1,1,25000,50000,1249.62,tier_3
POL100090,CA,1.0,1,0,25000,50000,797.32,tier_1
POL100091,CA,2.0,3,0,25000,5000,1418.36,tier_3
POL100092,TX,1.0,2,0,25000,10000,977.43,tier_2
POL100093,GA,2.0,4,1,15000,10000,1666.91,tier_2
POL100094,TX,2.0,3,0,15000,5000,1315.82,tier_2
POL100095,TX,2.0,3,0,50000,10000,1554.91,tier_3
POL100096,NV,2.0,3,2,15000,10000,1734.02,tier_2
POL100097,GA,1.0,1,1,25000,50000,1137.37,tier_1
POL100098,FL,1.0,3,1,25000,10000,1290.75,tier_1
POL100099,CA,1.0,1,2,15000,25000,1690.9,tier_4
POL100100,NV,2.0,4,1,100000,10000,2243.63,tier_4
POL100101,TX,1.0,3,2,15000,5000,1840.54,tier_3
POL100102,NV,1.0,3,1,100000,25000,1484.0,tier_2
POL100103,TX,1.0,2,3,50000,5000,2170.77,tier_4
POL100104,CA,1.0,1,2,15000,5000,1824.72,tier_4
POL100105,TX,3.0,5,0,15000,10000,2061.56,tier_3
POL100106,NV,1.0,1,0,25000,25000,1024.53,tier_2
POL100107,TX,4.0,5,1,25000,10000,2319.98,tier_2
POL100108,CA,1.0,3,2,15000,5000,1465.49,tier_1
POL100109,FL,2.0,4,0,100000,10000,1923.51,tier_4
POL100110,NV,2.0,4,1,15000,5000,1987.06,tier_3
POL100111,CA,1.0,1,1,50000,5000,1102.91,tier_2
POL100112,NV,3.0,5,1,15000,10000,2164.08,tier_2
POL100113,NV,4.0,4,2,100000,5000,2634.67,tier_3
POL100114,TX,3.0,4,2,15000,10000,2076.02,tier_2
POL100115,GA,1.0,3,1,25000,10000,1775.63,tier_4
POL100116,GA,1.0,2,0,25000,25000,1072.89,tier_3
POL100117,TX,2.0,4,0,15000,10000,1739.31,tier_3
POL100118,CA,1.0,2,0,50000,10000,959.3,tier_2
POL100119,TX,2.0,2,1,15000,5000,1737.34,tier_3
POL100120,CA,2.0,2,1,25000,50000,1534.1,tier_3
POL100121,FL,2.0,3,1,25000,5000,1804.82,tier_3
POL100122,GA,3.0,5,0,25000,5000,1727.02,tier_1
POL100123,GA,2.0,3,3,15000,10000,1827.81,tier_2
POL100124,TX,1.0,3,1,15000,5000,1420.8,tier_1
POL100125,TX,1.0,2,2,15000,5000,1643.85,tier_3
POL100126,CA,2.0,2,0,25000,5000,1229.99,tier_2
POL100127,FL,2.0,2,0,15000,10000,1150.57,tier_1
POL100128,CA,1.0,2,0,100000,10000,992.72,tier_1
POL100129,GA,1.0,3,3,25000,25000,2105.28,tier_3
POL100130,AZ,2.0,4,1,25000,25000,1785.78,tier_2
POL100131,CA,3.0,3,2,25000,10000,2645.42,tier_4
POL100132,NV,2.0,3,1,15000,50000,1943.67,tier_3
POL100133,FL,1.0,3,1,25000,25000,1425.15,tier_2
POL100134,AZ,1.0,2,0,25000,25000,1342.99,tier_3
POL100135,FL,2.0,2,1,25000,25000,1378.09,tier_1
POL100136,CA,1.0,2,5,25000,10000,2647.91,tier_4
POL100137,FL,2.0,2,1,25000,10000,1865.94,tier_3
POL100138,CA,2.0,2,1,100000,10000,1841.78,tier_4
POL100139,FL,1.0,2,0,15000,5000,1058.12,tier_1
POL100140,CA,1.0,1,0,25000,10000,1028.28,tier_3
POL100141,NV,1.0,2,1,15000,5000,1518.19,tier_3
POL100142,AZ,3.0,4,3,25000,5000,3005.08,tier_4
POL100143,CA,2.0,3,2,50000,50000,2099.19,tier_3
POL100144,TX,1.0,2,1,15000,25000,1406.48,tier_3
POL100145,NV,3.0,3,1,25000,10000,1892.97,tier_2
POL100146,CA,2.0,4,2,25000,10000,1958.79,tier_2
POL100147,FL,2.0,4,1,15000,10000,2023.56,tier_3
POL100148,NV,3.0,5,2,100000,50000,2057.8,tier_2
POL100149,TX,1.0,3,0,25000,25000,1042.48,tier_1
POL100150,AZ,1.0,2,3,50000,10000,2256.7,tier_4
POL100151,FL,2.0,4,2,25000,10000,2544.41,tier_4
POL100152,FL,1.0,2,1,100000,10000,1212.2,tier_1
POL100153,CA,2.0,2,1,25000,25000,1612.9,tier_3
POL100154,CA,1.0,3,0,25000,50000,1053.9,tier_1
POL100155,CA,1.0,1,2,50000,10000,1630.4,tier_3
POL100156,GA,1.0,3,0,25000,10000,966.56,tier_2
POL100157,GA,1.0,2,0,25000,10000,1226.09,tier_3
POL100158,AZ,1.0,3,0,100000,10000,1297.62,tier_3
POL100159,CA,1.0,2,2,25000,50000,1602.45,tier_3
POL100160,FL,3.0,4,1,50000,25000,1738.61,tier_1
POL100161,AZ,1.0,1,1,50000,10000,1574.03,tier_4
POL100162,NV,1.0,3,2,50000,10000,1689.58,tier_2
POL100163,CA,1.0,1,0,50000,10000,800.77,tier_1
POL100164,GA,1.0,2,0,25000,5000,1250.44,tier_3
POL100165,CA,1.0,2,1,25000,10000,1323.29,tier_2
POL100166,CA,2.0,3,5,15000,25000,3214.87,tier_4
POL100167,GA,1.0,1,2,25000,25000,1700.59,tier_4
POL100168,FL,3.0,4,1,50000,5000,1836.01,tier_2
POL100169,TX,3.0,4,3,25000,25000,3134.82,tier_4
POL100170,FL,1.0,1,1,15000,25000,1114.67,tier_2
POL100171,GA,1.0,1,0,25000,10000,937.07,tier_3
POL100172,CA,1.0,3,0,25000,10000,1017.04,tier_2
POL100173,NV,2.0,2,2,50000,10000,2251.11,tier_4
POL100174,TX,1.0,1,1,15000,25000,1071.77,tier_2
POL100175,CA,3.0,4,0,25000,5000,1538.58,tier_1
POL100176,TX,2.0,2,0,50000,5000,1323.38,tier_2
POL100177,FL,3.0,4,1,100000,10000,2372.74,tier_4
POL100178,CA,2.0,2,1,15000,5000,1886.76,tier_4
POL100179,TX,4.0,5,5,100000,10000,3519.49,tier_3
POL100180,FL,1.0,3,2,25000,25000,2136.78,tier_4
POL100181,FL,1.0,2,1,50000,5000,1747.53,tier_4
POL100182,NV,1.0,3,3,15000,10000,1969.0,tier_3
POL100183,AZ,4.0,5,0,25000,50000,2038.18,tier_2
POL100184,TX,2.0,2,5,25000,10000,3137.48,tier_4
POL100185,TX,3.0,4,2,25000,10000,2396.16,tier_3
POL100186,FL,1.0,1,0,25000,10000,886.07,tier_2
POL100187,FL,4.0,5,0,25000,5000,1835.82,tier_1
POL100188,CA,2.0,2,0,25000,5000,1421.31,tier_3
POL100189,TX,2.0,4,0,15000,25000,1530.0,tier_2
POL100190,CA,4.0,4,3,25000,10000,3359.71,tier_4
POL100191,TX,1.0,2,1,15000,10000,1166.03,tier_2
POL100192,GA,1.0,1,0,100000,5000,896.42,tier_1
POL100193,FL,2.0,4,1,100000,25000,2334.78,tier_4
POL100194,TX,1.0,3,1,25000,5000,1265.07,tier_1
POL100195,FL,1.0,3,0,15000,25000,1033.25,tier_2
POL100196,NV,1.0,2,2,15000,10000,1670.25,tier_3
POL100197,FL,1.0,1,1,25000,10000,1486.22,tier_4
POL100198,FL,3.0,5,1,50000,5000,1923.96,tier_2
POL100199,NV,2.0,3,0,25000,5000,1318.64,tier_2
POL100200,CA,1.0,3,0,15000,10000,1405.1,tier_4
POL100201,FL,1.0,3,1,15000,25000,1866.32,tier_4
POL100202,FL,2.0,3,1,15000,5000,1808.11,tier_3
POL100203,NV,2.0,4,0,50000,10000,1199.61,tier_1
POL100204,GA,3.0,5,0,25000,10000,1659.12,tier_1
POL100205,AZ,3.0,4,0,25000,5000,1664.7,tier_2
POL100206,FL,1.0,1,1,25000,10000,1055.65,tier_1
POL100207,CA,1.0,1,2,100000,5000,1496.72,tier_3
POL100208,FL,2.0,3,0,25000,10000,1152.62,tier_1
POL100209,AZ,2.0,3,3,50000,5000,2232.48,tier_3
POL100210,GA,2.0,2,2,100000,10000,1850.26,tier_3
POL100211,AZ,2.0,2,0,25000,10000,1393.6,tier_3
POL100212,CA,2.0,4,1,100000,10000,1713.58,tier_2
POL100213,NV,1.0,3,5,15000,10000,2957.69,tier_4
POL100214,GA,1.0,1,0,50000,50000,990.02,tier_3
POL100215,NV,1.0,2,1,15000,10000,1398.13,tier_3
POL100216,NV,1.0,1,0,25000,25000,1025.41,tier_1
POL100217,FL,1.0,3,0,15000,5000,984.24,tier_1
POL100218,FL,2.0,4,1,15000,10000,2188.17,tier_4
POL100219,TX,1.0,3,0,15000,5000,1440.23,tier_2
POL100220,CA,1.0,2,1,25000,10000,1285.29,tier_2
POL100221,AZ,2.0,3,2,25000,25000,1928.7,tier_3
POL100222,GA,2.0,4,3,25000,25000,2519.63,tier_3
POL100223,AZ,1.0,2,1,25000,10000,1564.85,tier_4
POL100224,TX,3.0,4,2,100000,10000,2187.77,tier_2
POL100225,CA,3.0,5,3,100000,5000,3218.17,tier_4
POL100226,TX,2.0,3,1,15000,5000,1382.87,tier_1
POL100227,AZ,2.0,4,0,25000,25000,1828.78,tier_3
POL100228,NV,1.0,2,2,50000,5000,1728.14,tier_3
POL100229,GA,4.0,5,0,50000,5000,1882.95,tier_1
POL100230,TX,1.0,1,0,25000,50000,849.22,tier_1
POL100231,FL,3.0,3,0,50000,50000,1500.47,tier_2
POL100232,AZ,2.0,2,0,15000,10000,1652.77,tier_4
POL100233,TX,1.0,2,2,25000,10000,1782.78,tier_3
POL100234,GA,1.0,3,1,50000,25000,1826.15,tier_4
POL100235,FL,2.0,2,0,25000,5000,1753.94,tier_4
POL100236,CA,2.0,2,2,50000,10000,1968.29,tier_3
POL100237,CA,1.0,3,2,15000,10000,2122.52,tier_4
POL100238,GA,2.0,4,0,15000,50000,1360.88,tier_1
POL100239,NV,3.0,4,2,15000,50000,1921.17,tier_1
POL100240,AZ,2.0,3,4,15000,25000,2826.14,tier_4
POL100241,AZ,2.0,3,0,15000,5000,1765.64,tier_4
POL100242,TX,1.0,1,0,25000,10000,916.55,tier_2
POL100243,AZ,3.0,3,0,25000,5000,1722.63,tier_3
POL100244,GA,1.0,3,1,50000,50000,1606.7,tier_3
POL100245,CA,3.0,4,2,25000,5000,2775.61,tier_4
POL100246,AZ,1.0,3,1,15000,5000,1643.76,tier_3
POL100247,TX,2.0,4,0,50000,25000,1536.86,tier_2
POL100248,TX,1.0,1,0,15000,10000,911.96,tier_2
POL100249,TX,1.0,1,0,50000,25000,781.54,tier_2
POL100250,AZ,2.0,4,1,15000,5000,2096.21,tier_3
POL100251,CA,2.0,2,2,25000,25000,2168.34,tier_4
POL100252,FL,2.0,3,2,100000,5000,2039.12,tier_3
POL100253,NV,4.0,5,1,25000,5000,2181.14,tier_2
POL100254,CA,4.0,5,0,25000,10000,1948.24,tier_2
POL100255,AZ,3.0,5,0,50000,5000,2189.24,tier_3
POL100256,GA,1.0,1,1,15000,10000,1587.51,tier_4
POL100257,CA,2.0,2,0,50000,5000,1139.77,tier_1
POL100258,CA,3.0,3,0,100000,5000,1382.61,tier_1
POL100259,GA,1.0,1,1,100000,25000,1330.63,tier_3
POL100260,CA,1.0,1,0,25000,5000,818.52,tier_1
POL100261,CA,3.0,5,2,25000,25000,2930.13,tier_4
POL100262,GA,2.0,2,1,50000,25000,1467.24,tier_2
POL100263,GA,2.0,4,0,25000,5000,1302.0,tier_1
POL100264,NV,4.0,5,2,15000,25000,3216.14,tier_4
POL100265,FL,2.0,3,1,15000,10000,1587.11,tier_2
POL100266,GA,1.0,1,2,15000,10000,1390.0,tier_2
POL100267,NV,1.0,1,0,25000,5000,759.62,tier_1
POL100268,NV,1.0,2,0,15000,25000,991.36,tier_1
POL100269,AZ,1.0,1,1,15000,10000,934.71,tier_1
POL100270,NV,3.0,5,0,15000,10000,1580.58,tier_1
POL100271,FL,3.0,3,1,100000,50000,1713.79,tier_2
POL100272,TX,1.0,1,0,15000,10000,721.13,tier_1
POL100273,FL,1.0,3,1,15000,50000,1664.33,tier_3
POL100274,FL,3.0,4,1,25000,25000,2077.63,tier_3
POL100275,TX,1.0,1,0,15000,50000,838.34,tier_2
POL100276,FL,2.0,4,0,100000,50000,1587.21,tier_2
POL100277,AZ,2.0,2,2,100000,50000,1847.5,tier_3
POL100278,TX,2.0,4,5,25000,5000,3378.81,tier_4
POL100279,CA,1.0,3,2,25000,25000,2018.48,tier_4
POL100280,TX,2.0,4,0,25000,25000,1410.3,tier_1
POL100281,TX,1.0,3,1,15000,10000,1452.72,tier_2
POL100282,AZ,2.0,2,0,25000,10000,1280.81,tier_2
POL100283,FL,1.0,3,0,15000,50000,1205.94,tier_2
POL100284,TX,2.0,2,0,15000,5000,1398.26,tier_3
POL100285,AZ,2.0,3,1,25000,10000,1525.18,tier_2
POL100286,CA,1.0,1,0,15000,10000,742.98,tier_1
POL100287,CA,1.0,2,0,15000,5000,1138.64,tier_2
POL100288,AZ,1.0,3,1,25000,25000,1643.01,tier_3
POL100289,FL,1.0,2,1,25000,5000,1071.57,tier_1
POL100290,AZ,1.0,1,4,15000,25000,2342.49,tier_4
POL100291,AZ,4.0,4,0,15000,25000,1655.99,tier_1
POL100292,GA,1.0,3,0,15000,10000,1429.0,tier_4
POL100293,CA,3.0,4,1,15000,25000,1725.1,tier_1
POL100294,AZ,4.0,5,3,50000,5000,3449.18,tier_4
POL100295,NV,1.0,2,0,100000,25000,1271.43,tier_4
POL100296,CA,2.0,2,0,25000,50000,1475.07,tier_4
POL100297,GA,3.0,4,1,25000,5000,2351.08,tier_4
POL100298,TX,2.0,3,4,50000,25000,2900.93,tier_4
POL100299,GA,1.0,3,0,25000,10000,1318.77,tier_3
POL100300,FL,2.0,3,1,15000,10000,1988.7,tier_4
POL100301,FL,1.0,3,0,15000,25000,1105.06,tier_1
POL100302,CA,2.0,4,1,25000,10000,1938.43,tier_3
POL100303,GA,4.0,4,2,25000,10000,2677.04,tier_3
POL100304,FL,4.0,5,4,15000,5000,3758.75,tier_4
POL100305,CA,1.0,2,0,25000,10000,1109.1,tier_3
POL100306,CA,2.0,2,1,25000,25000,1448.2,tier_2
POL100307,AZ,1.0,1,0,15000,5000,918.67,tier_3
POL100308,CA,3.0,5,0,25000,10000,1846.6,tier_2
POL100309,FL,1.0,2,0,50000,5000,851.34,tier_1
POL100310,NV,3.0,3,1,25000,25000,2088.05,tier_3
POL100311,TX,3.0,3,1,15000,10000,1729.98,tier_2
POL100312,FL,1.0,1,1,15000,10000,1208.57,tier_2
POL100313,TX,1.0,1,1,50000,5000,1022.83,tier_2
POL100314,GA,3.0,3,0,25000,10000,1480.64,tier_2
POL100315,AZ,1.0,3,1,15000,50000,1413.13,tier_2
POL100316,TX,2.0,4,2,15000,10000,2020.99,tier_2
POL100317,FL,3.0,4,1,50000,10000,2301.66,tier_3
POL100318,FL,2.0,3,0,50000,25000,1352.77,tier_2
POL100319,GA,1.0,3,0,50000,10000,1681.11,tier_4
POL100320,TX,2.0,4,1,25000,10000,2210.98,tier_4
POL100321,FL,1.0,1,1,25000,10000,1371.4,tier_3
POL100322,GA,4.0,5,1,25000,5000,2130.16,tier_2
POL100323,CA,1.0,1,1,15000,25000,1313.72,tier_3
POL100324,FL,1.0,1,2,50000,25000,1560.46,tier_4
POL100325,CA,1.0,2,1,25000,50000,1332.66,tier_3
POL100326,FL,4.0,5,2,15000,50000,3234.37,tier_4
POL100327,TX,1.0,1,2,100000,10000,1418.44,tier_3
POL100328,GA,3.0,3,1,25000,10000,2046.29,tier_3
POL100329,TX,2.0,2,1,15000,10000,1515.55,tier_2
POL100330,CA,3.0,4,0,25000,50000,1865.39,tier_3
POL100331,AZ,4.0,5,1,50000,25000,2127.89,tier_2
POL100332,AZ,3.0,3,2,100000,10000,2221.69,tier_3
POL100333,NV,4.0,4,2,25000,25000,2940.11,tier_4
POL100334,NV,1.0,1,1,100000,25000,1003.15,tier_1
POL100335,TX,3.0,3,2,50000,50000,2270.68,tier_3
POL100336,NV,2.0,2,0,50000,25000,1075.99,tier_1
POL100337,CA,2.0,3,2,50000,10000,2188.32,tier_3
POL100338,CA,3.0,4,2,25000,10000,1848.35,tier_1
POL100339,GA,4.0,5,0,50000,10000,2733.37,tier_4
POL100340,NV,2.0,4,1,25000,10000,1450.49,tier_1
POL100341,TX,2.0,3,0,50000,50000,1779.49,tier_4
POL100342,CA,2.0,2,5,15000,10000,3150.36,tier_4
POL100343,GA,1.0,2,0,50000,10000,1272.17,tier_3
POL100344,CA,1.0,1,1,100000,10000,1433.98,tier_4
POL100345,TX,1.0,3,1,25000,10000,1861.88,tier_4
POL100346,CA,1.0,1,1,100000,10000,1505.5,tier_4
POL100347,CA,1.0,1,0,25000,5000,851.86,tier_2
POL100348,TX,2.0,4,0,15000,25000,1744.36,tier_3
POL100349,GA,2.0,3,0,15000,10000,1379.06,tier_1
POL100350,TX,3.0,3,1,50000,10000,2050.09,tier_3
POL100351,FL,2.0,4,2,25000,5000,1969.64,tier_2
POL100352,NV,1.0,1,1,25000,10000,1335.13,tier_3
POL100353,FL,1.0,3,0,25000,25000,1201.82,tier_3
POL100354,NV,1.0,3,1,25000,50000,1617.12,tier_3
POL100355,NV,4.0,5,4,25000,5000,3195.58,tier_3
POL100356,FL,1.0,2,1,50000,50000,1377.86,tier_3
POL100357,NV,2.0,3,0,50000,25000,1957.07,tier_4
POL100358,AZ,3.0,4,1,50000,10000,2138.47,tier_3
POL100359,NV,4.0,4,1,25000,5000,2313.09,tier_3
POL100360,AZ,1.0,1,1,100000,10000,1567.67,tier_4
POL100361,CA,1.0,1,0,15000,25000,731.7,tier_1
POL100362,NV,1.0,3,0,15000,10000,1011.72,tier_1
POL100363,NV,1.0,1,0,15000,10000,918.42,tier_1
POL100364,TX,1.0,2,2,25000,25000,1683.64,tier_3
POL100365,GA,2.0,4,1,25000,25000,1568.26,tier_2
POL100366,TX,3.0,5,3,50000,25000,3282.34,tier_4
POL100367,TX,2.0,2,0,25000,25000,1358.3,tier_3
POL100368,AZ,2.0,2,4,15000,5000,2230.89,tier_2
POL100369,TX,1.0,3,3,25000,25000,2342.77,tier_4
POL100370,TX,3.0,3,1,100000,10000,2099.35,tier_3
POL100371,TX,2.0,2,2,25000,5000,1809.93,tier_2
POL100372,GA,3.0,5,0,15000,50000,1728.42,tier_2
POL100373,FL,4.0,5,1,25000,5000,2193.83,tier_2
POL100374,NV,1.0,3,0,25000,5000,1082.78,tier_1
POL100375,AZ,1.0,3,0,15000,10000,976.88,tier_1
POL100376,FL,1.0,1,2,25000,10000,1782.48,tier_4
POL100377,GA,2.0,2,3,25000,5000,1860.38,tier_2
POL100378,AZ,4.0,4,0,25000,10000,1837.67,tier_2
POL100379,TX,1.0,1,3,25000,25000,1786.16,tier_3
POL100380,GA,2.0,4,3,15000,25000,2454.06,tier_3
POL100381,FL,2.0,2,2,100000,5000,2194.33,tier_4
POL100382,CA,1.0,2,2,25000,10000,1881.1,tier_4
POL100383,TX,1.0,3,3,25000,25000,2034.81,tier_3
POL100384,FL,2.0,4,1,15000,5000,1690.92,tier_2
POL100385,CA,2.0,2,1,25000,5000,1886.8,tier_4
POL100386,FL,2.0,3,2,50000,5000,2008.7,tier_3
POL100387,TX,1.0,2,3,15000,10000,2249.33,tier_4
POL100388,FL,2.0,4,2,15000,5000,1584.25,tier_1
POL100389,CA,1.0,2,4,15000,25000,2449.51,tier_4
POL100390,AZ,3.0,3,2,25000,50000,2238.21,tier_3
POL100391,TX,1.0,3,1,100000,5000,1176.48,tier_1
POL100392,CA,1.0,3,1,25000,10000,1716.48,tier_3
POL100393,FL,2.0,3,1,25000,5000,1795.6,tier_3
POL100394,FL,2.0,2,0,50000,5000,1117.03,tier_1
POL100395,FL,2.0,3,2,50000,25000,2004.93,tier_3
POL100396,FL,2.0,4,0,15000,10000,1944.46,tier_4
POL100397,CA,4.0,5,1,15000,50000,2106.95,tier_2
POL100398,GA,2.0,3,2,25000,10000,2031.57,tier_3
POL100399,FL,2.0,2,1,50000,5000,1358.85,tier_2
POL100400,CA,1.0,2,0,50000,10000,1005.42,tier_2
POL100401,AZ,1.0,3,3,50000,5000,2176.71,tier_4
POL100402,NV,2.0,4,1,50000,25000,2139.72,tier_4
POL100403,NV,1.0,1,0,15000,25000,936.68,tier_1
POL100404,TX,2.0,2,1,25000,10000,1961.18,tier_4
POL100405,TX,1.0,2,3,15000,10000,2333.92,tier_4
POL100406,FL,4.0,4,1,50000,25000,2196.96,tier_2
POL100407,CA,2.0,4,4,25000,25000,3162.2,tier_4
POL100408,TX,3.0,3,1,25000,5000,1552.76,tier_1
POL100409,GA,2.0,3,2,15000,5000,2264.73,tier_4
POL100410,NV,1.0,3,4,50000,5000,2431.47,tier_3
POL100411,TX,3.0,5,1,50000,10000,2315.49,tier_3
POL100412,CA,2.0,4,0,50000,10000,1551.49,tier_1
POL100413,NV,3.0,3,1,15000,5000,2280.47,tier_4
POL100414,TX,1.0,3,0,100000,10000,1217.45,tier_1
POL100415,CA,2.0,3,1,50000,10000,1556.42,tier_2
POL100416,CA,3.0,3,1,50000,5000,1704.81,tier_1
POL100417,NV,2.0,3,4,50000,50000,3076.72,tier_4
POL100418,NV,1.0,2,1,100000,10000,1162.55,tier_2
POL100419,CA,2.0,3,2,100000,10000,2311.68,tier_4
POL100420,CA,2.0,2,1,25000,10000,1556.2,tier_3
POL100421,FL,4.0,5,1,25000,10000,1895.2,tier_1
POL100422,FL,1.0,2,0,25000,25000,987.7,tier_1
POL100423,NV,,1,4,50000,10000,1593.54,tier_1
POL100424,CA,3.0,5,1,50000,10000,2314.45,tier_3
POL100425,NV,2.0,2,1,15000,50000,1937.88,tier_4
POL100426,GA,2.0,4,1,15000,25000,1543.12,tier_2
POL100427,FL,2.0,2,0,100000,25000,1710.18,tier_4
POL100428,CA,1.0,3,0,100000,5000,1020.08,tier_1
POL100429,NV,2.0,3,1,100000,5000,2108.35,tier_4
POL100430,TX,1.0,1,2,25000,25000,1812.26,tier_4
POL100431,CA,1.0,1,3,50000,10000,2165.82,tier_4
POL100432,TX,2.0,4,0,50000,25000,1683.09,tier_3
