message_id,claim_id,message_timestamp,sender_type,sentiment_score,response_latency_minutes,escalation_flag
MSG001401,CLM200014,2024-05-03 09:25:00,insured,-0.265,87.6,0
MSG001402,CLM200014,2024-05-06 17:39:00,claimant,0.307,67.7,0
MSG001403,CLM200014,2024-03-31 15:08:00,adjuster,0.059,264.6,0
MSG001404,CLM200014,2024-04-25 02:28:00,insured,0.03,147.7,0
MSG001500,CLM200015,2025-01-15 17:05:00,insured,-0.215,52.4,0
MSG001600,CLM200016,2024-07-08 10:05:00,claimant,0.012,98.4,0
MSG001601,CLM200016,2024-06-30 09:58:00,adjuster,-0.139,71.3,1
MSG001700,CLM200017,2024-07-11 04:42:00,claimant,0.659,65.3,0
MSG001701,CLM200017,2024-07-23 23:46:00,adjuster,-0.183,51.0,0
MSG001702,CLM200017,2024-07-01 04:21:00,insured,1.0,65.8,0
MSG001703,CLM200017,2024-07-23 10:52:00,attorney,0.174,118.2,0
MSG001800,CLM200018,2024-02-25 11:06:00,adjuster,-0.029,39.3,0
MSG001900,CLM200019,2024-04-01 17:01:00,adjuster,0.296,224.4,0
MSG001901,CLM200019,2024-03-20 01:44:00,adjuster,0.399,198.9,0
MSG001902,CLM200019,2024-03-23 08:51:00,adjuster,0.015,61.3,0
MSG002000,CLM200020,2024-03-13 08:29:00,claimant,-0.137,15.9,0
MSG002001,CLM200020,2024-03-13 13:25:00,adjuster,-0.049,139.0,0
MSG002100,CLM200021,2024-07-07 21:15:00,claimant,-0.053,188.0,0
MSG002101,CLM200021,2024-08-03 01:28:00,claimant,0.113,49.2,0
MSG002200,CLM200022,2024-04-22 03:01:00,insured,0.001,36.0,0
MSG002201,CLM200022,2024-04-01 10:29:00,attorney,-0.347,44.4,0
MSG002300,CLM200023,2024-03-16 07:48:00,insured,0.139,182.3,0
MSG002301,CLM200023,2024-02-22 17:28:00,claimant,-0.002,135.1,0
MSG002302,CLM200023,2024-02-16 18:18:00,adjuster,0.074,92.0,0
MSG002303,CLM200023,2024-02-15 12:13:00,insured,-0.211,67.5,0
MSG002304,CLM200023,2024-02-24 17:13:00,attorney,0.425,141.7,0
MSG002400,CLM200024,2024-09-13 12:22:00,adjuster,-0.261,38.8,0
MSG002401,CLM200024,2024-09-02 00:54:00,claimant,0.028,167.8,0
MSG002402,CLM200024,2024-08-17 07:18:00,claimant,0.487,86.9,0
MSG002500,CLM200025,2024-11-21 09:57:00,claimant,-0.141,86.6,0
MSG002501,CLM200025,2024-12-18 23:25:00,insured,-0.185,144.7,0
MSG002502,CLM200025,2024-11-21 14:00:00,adjuster,0.136,59.9,0
MSG002503,CLM200025,2024-12-16 16:58:00,claimant,-0.071,122.7,0
MSG002600,CLM200026,2024-02-20 03:04:00,claimant,-0.192,30.0,0
MSG002601,CLM200026,2024-01-28 07:00:00,adjuster,0.047,95.9,0
MSG002700,CLM200027,2024-08-05 11:32:00,claimant,0.432,82.4,0
MSG002701,CLM200027,2024-07-28 14:58:00,adjuster,0.181,153.4,0
MSG002800,CLM200028,2024-12-26 21:12:00,insured,0.155,53.9,0
MSG002801,CLM200028,2025-01-17 04:03:00,claimant,-0.076,54.4,0
MSG002802,CLM200028,2024-12-23 14:04:00,adjuster,0.356,69.2,0
MSG002900,CLM200029,2024-06-05 23:07:00,insured,-0.094,104.7,0
MSG002901,CLM200029,2024-06-16 16:10:00,adjuster,-0.4,64.8,0
MSG002902,CLM200029,2024-06-04 16:07:00,attorney,-0.146,152.4,0
MSG002903,CLM200029,2024-07-05 08:58:00,attorney,-0.094,122.3,0
MSG002904,CLM200029,2024-07-05 16:48:00,insured,-0.545,9.0,0
MSG002905,CLM200029,2024-07-01 14:34:00,adjuster,-0.126,69.5,0
MSG003000,CLM200030,2024-03-19 13:10:00,claimant,0.469,109.5,0
MSG003100,CLM200031,2024-02-12 16:53:00,claimant,0.06,30.2,0
MSG003101,CLM200031,2024-02-10 16:58:00,adjuster,0.17,45.3,0
MSG003200,CLM200032,2025-01-06 17:11:00,insured,-0.274,91.0,0
MSG003201,CLM200032,2024-12-19 08:59:00,attorney,-0.453,90.0,0
MSG003202,CLM200032,2024-12-19 04:33:00,adjuster,-0.429,68.3,1
MSG003203,CLM200032,2024-12-13 19:31:00,claimant,-0.197,45.5,1
MSG003300,CLM200033,2024-07-05 06:13:00,insured,0.006,18.6,0
MSG003301,CLM200033,2024-06-10 05:35:00,claimant,-0.214,57.6,0
MSG003302,CLM200033,2024-06-25 00:08:00,insured,-0.462,44.1,0
MSG003400,CLM200034,2024-03-13 04:56:00,adjuster,0.422,23.9,0
MSG003401,CLM200034,2024-03-04 12:24:00,insured,0.445,124.1,0
MSG003500,CLM200035,2024-12-10 17:02:00,adjuster,-0.084,72.7,0
MSG003501,CLM200035,2024-12-21 16:16:00,insured,0.02,85.3,0
MSG003600,CLM200036,2024-10-21 01:11:00,adjuster,-0.566,205.6,0
MSG003601,CLM200036,2024-10-26 20:23:00,adjuster,-0.291,150.9,0
MSG003602,CLM200036,2024-11-16 01:57:00,adjuster,-0.772,248.7,0
MSG003603,CLM200036,2024-11-01 17:59:00,insured,-0.205,42.3,0
MSG003700,CLM200037,2024-09-26 21:13:00,claimant,-0.421,25.3,0
MSG003701,CLM200037,2024-10-22 06:25:00,insured,-0.047,30.3,1
MSG003702,CLM200037,2024-09-19 18:47:00,adjuster,0.454,48.2,0
MSG003800,CLM200038,2024-03-12 12:26:00,adjuster,0.259,110.5,0
MSG003801,CLM200038,2024-03-10 19:21:00,attorney,-0.307,118.7,0
MSG003900,CLM200039,2024-02-21 01:11:00,adjuster,-0.137,202.3,0
MSG003901,CLM200039,2024-02-06 16:30:00,insured,0.001,112.5,0
MSG004000,CLM200040,2024-04-18 13:52:00,claimant,0.036,105.3,0
MSG004001,CLM200040,2024-04-21 11:11:00,attorney,-0.111,138.0,0
MSG004002,CLM200040,2024-04-02 07:04:00,attorney,-0.43,30.5,0
MSG004003,CLM200040,2024-04-11 16:33:00,insured,-0.211,303.9,0
MSG004004,CLM200040,2024-04-24 10:32:00,claimant,-0.449,215.0,0
MSG004100,CLM200041,2024-03-31 01:04:00,insured,-0.554,213.8,0
MSG004101,CLM200041,2024-04-02 14:19:00,claimant,-0.016,213.0,1
MSG004102,CLM200041,2024-03-29 23:59:00,claimant,0.322,135.0,0
MSG004103,CLM200041,2024-03-07 23:18:00,insured,-0.535,140.3,0
MSG004104,CLM200041,2024-03-09 19:20:00,insured,-0.153,29.0,0
MSG004200,CLM200042,2024-08-23 14:47:00,insured,0.308,29.7,0
MSG004201,CLM200042,2024-08-17 14:20:00,claimant,-0.262,211.4,0
MSG004202,CLM200042,2024-08-24 15:12:00,adjuster,-0.237,169.6,0
MSG004300,CLM200043,2024-06-08 04:20:00,adjuster,-0.266,20.9,0
MSG004301,CLM200043,2024-05-25 02:32:00,claimant,-0.468,73.2,0
MSG004302,CLM200043,2024-06-27 18:09:00,insured,0.138,170.2,0
MSG004303,CLM200043,2024-05-26 13:36:00,claimant,-0.115,81.6,0
MSG004304,CLM200043,2024-06-10 16:19:00,attorney,-0.133,88.9,0
MSG004305,CLM200043,2024-06-21 12:23:00,claimant,0.145,198.1,0
MSG004306,CLM200043,2024-06-09 05:42:00,attorney,-0.172,109.9,1
MSG004400,CLM200044,2024-10-18 18:35:00,insured,0.216,50.0,0
MSG004401,CLM200044,2024-11-10 13:57:00,adjuster,0.006,156.8,0
MSG004402,CLM200044,2024-11-11 04:13:00,claimant,-0.032,113.3,0
MSG004403,CLM200044,2024-10-13 06:04:00,insured,0.139,82.6,0
MSG004404,CLM200044,2024-10-10 17:57:00,claimant,-0.027,25.9,0
MSG004500,CLM200045,2024-03-13 18:51:00,claimant,-0.0,9.7,0
MSG004501,CLM200045,2024-03-11 06:29:00,attorney,-0.203,36.1,0
MSG004502,CLM200045,2024-03-04 05:46:00,insured,0.451,82.0,0
MSG004503,CLM200045,2024-02-15 00:24:00,claimant,0.099,57.7,0
MSG004600,CLM200046,2024-10-11 06:48:00,adjuster,-0.351,79.7,0
MSG004601,CLM200046,2024-10-05 22:09:00,adjuster,0.413,40.5,0
MSG004602,CLM200046,2024-09-30 20:17:00,attorney,0.531,140.6,0
MSG004700,CLM200047,2024-12-17 19:47:00,adjuster,-0.248,145.7,0
MSG004701,CLM200047,2025-01-15 00:14:00,insured,-0.643,130.4,0
MSG004800,CLM200048,2024-03-13 08:53:00,insured,0.12,156.2,0
MSG004900,CLM200049,2024-09-20 11:42:00,insured,0.253,39.6,0
MSG005000,CLM200050,2024-08-10 20:12:00,adjuster,-0.129,102.6,0
MSG005001,CLM200050,2024-07-05 23:14:00,insured,0.265,184.6,0
MSG005100,CLM200051,2024-02-15 22:41:00,,-0.152,139.6,0
MSG005101,CLM200051,2024-03-10 20:04:00,claimant,-0.217,137.9,0
MSG005102,CLM200051,2024-02-21 19:41:00,claimant,-0.367,70.0,1
MSG005103,CLM200051,2024-02-07 21:46:00,insured,-0.012,39.9,0
MSG005200,CLM200052,2024-05-10 13:35:00,adjuster,0.206,66.7,0
MSG005201,CLM200052,2024-04-25 08:14:00,adjuster,-0.077,60.9,0
MSG005300,CLM200053,2024-11-24 12:56:00,claimant,-0.353,146.9,0
MSG005301,CLM200053,2024-11-22 05:45:00,claimant,0.119,26.0,0
MSG005400,CLM200054,2024-12-12 16:47:00,claimant,-0.013,58.0,0
MSG005401,CLM200054,2024-11-15 17:34:00,adjuster,-0.093,4.4,0
MSG005500,CLM200055,2024-06-20 17:54:00,claimant,0.466,73.0,0
MSG005501,CLM200055,2024-06-20 06:43:00,adjuster,-0.347,177.5,0
MSG005502,CLM200055,2024-05-25 01:23:00,adjuster,-0.072,375.7,0
MSG005503,CLM200055,2024-06-18 08:19:00,insured,0.112,134.0,0
MSG005504,CLM200055,2024-06-07 21:34:00,attorney,-0.182,124.5,1
MSG005600,CLM200056,2024-03-02 18:42:00,attorney,0.031,152.0,1
MSG005601,CLM200056,2024-03-01 11:49:00,insured,-0.101,164.9,1
MSG005602,CLM200056,2024-03-23 12:27:00,attorney,-0.108,582.5,0
MSG005603,CLM200056,2024-02-14 18:37:00,claimant,-0.238,160.8,0
MSG005604,CLM200056,2024-03-02 06:08:00,claimant,-0.515,111.7,1
MSG005605,CLM200056,2024-02-15 11:15:00,adjuster,-0.674,121.5,1
MSG005606,CLM200056,2024-03-06 12:46:00,claimant,-0.114,168.4,0
MSG005700,CLM200057,2024-04-16 16:26:00,attorney,0.054,75.1,0
MSG005701,CLM200057,2024-04-06 06:03:00,insured,-0.234,107.7,0
MSG005702,CLM200057,2024-04-03 08:25:00,claimant,-0.275,66.2,1
MSG005703,CLM200057,2024-04-28 05:25:00,attorney,-0.467,50.1,0
MSG005800,CLM200058,2024-11-13 09:09:00,claimant,-0.078,110.6,1
MSG005801,CLM200058,2024-11-20 14:28:00,insured,-0.488,300.8,0
MSG005802,CLM200058,2024-11-21 06:24:00,adjuster,-0.168,203.1,0
MSG005803,CLM200058,2024-11-30 05:59:00,insured,0.084,92.7,0
MSG005804,CLM200058,2024-11-07 12:55:00,claimant,0.206,127.2,0
MSG005805,CLM200058,2024-11-26 20:55:00,claimant,0.179,201.9,0
MSG005806,CLM200058,2024-11-07 23:01:00,adjuster,-0.496,19.9,0
MSG005807,CLM200058,2024-11-08 08:30:00,claimant,-0.162,164.6,0
MSG005808,CLM200058,2024-11-30 04:14:00,adjuster,0.147,9.9,0
MSG005809,CLM200058,2024-11-09 22:53:00,attorney,0.215,154.0,0
MSG005810,CLM200058,2024-11-25 10:19:00,claimant,0.02,104.7,0
MSG005900,CLM200059,2024-08-09 04:10:00,claimant,0.046,33.2,0
MSG005901,CLM200059,2024-08-14 14:21:00,claimant,-0.359,106.4,0
MSG005902,CLM200059,2024-08-24 00:23:00,insured,-0.064,118.8,0
MSG005903,CLM200059,2024-09-03 08:18:00,adjuster,-0.513,75.8,0
MSG006000,CLM200060,2024-07-14 12:42:00,claimant,-0.189,89.6,0
MSG006001,CLM200060,2024-06-09 16:38:00,claimant,0.235,146.0,0
MSG006100,CLM200061,2024-01-20 00:52:00,claimant,0.077,149.7,0
MSG006200,CLM200062,2024-10-20 15:41:00,adjuster,-0.736,171.9,1
MSG006201,CLM200062,2024-11-18 18:39:00,adjuster,0.374,97.6,0
MSG006202,CLM200062,2024-10-24 19:28:00,claimant,-0.152,22.3,0
MSG006203,CLM200062,2024-11-20 22:54:00,attorney,0.111,66.4,0
MSG006204,CLM200062,2024-11-10 06:30:00,adjuster,0.478,56.5,0
MSG006205,CLM200062,2024-10-18 09:19:00,insured,-0.134,40.4,0
MSG006300,CLM200063,2024-07-11 12:40:00,claimant,-0.161,348.4,0
MSG006301,CLM200063,2024-07-08 10:03:00,insured,-0.144,159.5,0
MSG006302,CLM200063,2024-07-04 04:06:00,adjuster,-0.85,121.9,0
MSG006303,CLM200063,2024-06-26 01:45:00,claimant,-0.192,100.4,1
MSG006304,CLM200063,2024-07-27 12:17:00,adjuster,-0.371,39.0,0
MSG006305,CLM200063,2024-07-24 06:39:00,claimant,-0.396,82.3,0
MSG006400,CLM200064,2024-08-19 07:16:00,adjuster,-0.15,41.3,0
MSG006401,CLM200064,2024-07-26 22:56:00,claimant,0.153,17.7,0
MSG006402,CLM200064,2024-08-06 17:39:00,claimant,-0.275,11.6,0
MSG006500,CLM200065,2024-12-02 13:23:00,adjuster,-0.008,108.3,0
MSG006501,CLM200065,2024-12-08 10:01:00,adjuster,-0.078,38.1,0
MSG006600,CLM200066,2024-08-19 18:48:00,adjuster,-0.154,104.1,0
MSG006601,CLM200066,2024-08-31 00:12:00,claimant,0.19,4.9,0
MSG006602,CLM200066,2024-08-29 09:00:00,claimant,0.016,173.8,0
MSG006603,CLM200066,2024-08-13 05:42:00,adjuster,-0.141,88.0,0
MSG006700,CLM200067,2024-12-17 23:21:00,insured,0.007,186.9,0
MSG006701,CLM200067,2024-12-12 19:46:00,adjuster,-0.518,164.2,1
MSG006800,CLM200068,2024-08-23 08:52:00,adjuster,-0.178,101.6,0
MSG006801,CLM200068,2024-08-10 13:50:00,insured,-0.117,122.6,0
MSG006802,CLM200068,2024-08-07 04:08:00,insured,0.242,14.6,0
MSG006803,CLM200068,2024-08-28 12:25:00,insured,0.047,67.2,0
MSG006900,CLM200069,2024-06-13 13:09:00,adjuster,-0.313,46.1,0
MSG006901,CLM200069,2024-05-17 09:10:00,claimant,-0.388,46.3,0
MSG006902,CLM200069,2024-05-10 02:06:00,insured,-0.081,167.5,0
MSG007000,CLM200070,2024-12-23 14:41:00,claimant,-0.252,47.1,0
MSG007100,CLM200071,2024-09-29 16:45:00,claimant,-0.554,223.3,0
MSG007101,CLM200071,2024-09-27 17:03:00,insured,-0.016,46.8,0
MSG007102,CLM200071,2024-09-23 18:00:00,claimant,0.393,55.4,0
MSG007103,CLM200071,2024-09-19 02:02:00,adjuster,-0.254,75.0,1
MSG007104,CLM200071,2024-09-18 14:42:00,adjuster,-0.275,26.9,0
MSG007105,CLM200071,2024-09-20 07:23:00,adjuster,-0.66,218.2,0
MSG007106,CLM200071,2024-09-03 04:22:00,insured,-0.432,30.9,0
MSG007107,CLM200071,2024-09-24 21:41:00,insured,-0.158,99.7,1
MSG007108,CLM200071,2024-09-24 00:43:00,attorney,-0.178,30.5,0
MSG007109,CLM200071,2024-09-06 13:17:00,adjuster,-0.275,175.7,0
MSG007200,CLM200072,2024-10-06 06:46:00,claimant,0.095,85.6,0
MSG007300,CLM200073,2024-04-08 06:31:00,claimant,0.159,128.3,0
MSG007301,CLM200073,2024-05-04 19:24:00,adjuster,-0.109,99.0,0
MSG007400,CLM200074,2024-09-30 07:11:00,insured,-0.394,7.8,0
MSG007401,CLM200074,2024-09-10 07:50:00,claimant,0.236,78.1,0
MSG007402,CLM200074,2024-10-05 18:21:00,adjuster,0.257,142.3,0
MSG007403,CLM200074,2024-09-05 21:59:00,insured,-0.16,126.6,0
MSG007404,CLM200074,2024-09-11 22:07:00,insured,0.331,43.6,1
MSG007500,CLM200075,2024-08-31 10:09:00,adjuster,-0.074,8.1,0
MSG007501,CLM200075,2024-08-28 05:35:00,claimant,-0.072,53.5,0
MSG007502,CLM200075,2024-08-25 15:54:00,insured,-0.009,33.5,0
MSG007503,CLM200075,2024-08-09 22:16:00,adjuster,0.094,215.5,0
MSG007600,CLM200076,2024-02-28 05:46:00,adjuster,0.147,31.6,0
MSG007601,CLM200076,2024-02-18 12:45:00,adjuster,0.283,4.3,0
MSG007700,CLM200077,2024-05-11 02:44:00,insured,-0.315,28.1,0
MSG007800,CLM200078,2024-12-13 15:30:00,claimant,-0.09,30.0,0
MSG007900,CLM200079,2024-08-24 21:40:00,attorney,-0.351,77.9,0
MSG007901,CLM200079,2024-08-29 09:52:00,adjuster,-0.065,93.1,0
MSG007902,CLM200079,2024-08-03 03:47:00,claimant,-0.015,137.1,0
MSG007903,CLM200079,2024-08-31 16:12:00,adjuster,-0.222,41.9,1
MSG007904,CLM200079,2024-07-31 10:10:00,insured,-0.57,130.4,0
MSG008000,CLM200080,2024-10-31 20:11:00,insured,-0.31,80.7,0
MSG008100,CLM200081,2024-03-11 09:07:00,claimant,0.044,8.9,1
MSG008101,CLM200081,2024-03-20 08:43:00,adjuster,0.088,32.4,0
MSG008102,CLM200081,2024-03-25 06:01:00,adjuster,0.279,22.3,0
MSG008200,CLM200082,2024-04-14 04:34:00,insured,-0.025,111.2,1
MSG008201,CLM200082,2024-03-27 13:51:00,adjuster,0.049,198.7,0
MSG008202,CLM200082,2024-04-17 09:12:00,adjuster,-0.01,189.6,0
MSG008300,CLM200083,2024-12-30 22:27:00,attorney,-0.526,94.9,1
MSG008301,CLM200083,2025-01-07 23:36:00,attorney,-0.191,103.8,0
MSG008302,CLM200083,2025-01-08 00:53:00,adjuster,-0.592,145.9,1
MSG008303,CLM200083,2025-01-06 00:03:00,adjuster,-1.0,99.3,0
MSG008304,CLM200083,2024-12-31 15:34:00,claimant,-0.014,462.3,0
MSG008400,CLM200084,2024-07-01 18:32:00,adjuster,-0.549,138.0,0
MSG008401,CLM200084,2024-06-12 04:40:00,insured,-0.514,155.5,0
MSG008402,CLM200084,2024-06-28 03:05:00,insured,-0.284,22.0,1
MSG008403,CLM200084,2024-06-17 19:58:00,claimant,-0.232,308.6,0
MSG008404,CLM200084,2024-06-06 20:42:00,adjuster,-0.437,66.9,1
MSG008500,CLM200085,2024-11-30 00:55:00,adjuster,-0.304,33.0,0
MSG008600,CLM200086,2024-11-19 18:48:00,insured,-0.194,36.6,0
MSG008601,CLM200086,2024-11-06 00:58:00,adjuster,-0.052,73.5,0
MSG008602,CLM200086,2024-10-29 17:21:00,adjuster,-0.605,10.8,0
MSG008603,CLM200086,2024-11-14 03:33:00,claimant,-0.382,115.0,0
MSG008604,CLM200086,2024-11-09 00:11:00,claimant,-0.001,12.9,0
MSG008605,CLM200086,2024-11-13 05:52:00,insured,0.12,23.9,0
MSG008700,CLM200087,2024-06-08 17:54:00,claimant,-0.513,89.3,0
MSG008701,CLM200087,2024-05-08 02:15:00,adjuster,0.364,159.8,0
MSG008702,CLM200087,2024-06-08 03:11:00,insured,-0.121,27.3,0
MSG008800,CLM200088,2025-01-15 00:36:00,adjuster,-0.328,108.2,0
MSG008801,CLM200088,2025-01-06 09:11:00,insured,0.11,25.3,0
MSG008900,CLM200089,2024-11-18 04:34:00,claimant,-0.157,47.6,1
MSG009000,CLM200090,2024-03-16 23:10:00,,-0.283,146.6,0
MSG009001,CLM200090,2024-02-22 19:39:00,attorney,0.004,124.4,0
MSG009100,CLM200091,2024-03-18 07:51:00,claimant,-0.527,27.1,0
MSG009101,CLM200091,2024-03-19 04:37:00,claimant,-0.638,312.3,0
MSG009102,CLM200091,2024-02-09 17:51:00,claimant,-0.542,322.3,1
MSG009103,CLM200091,2024-03-14 15:13:00,adjuster,-0.666,676.1,0
MSG009104,CLM200091,2024-02-19 18:14:00,adjuster,-0.273,65.5,0
MSG009105,CLM200091,2024-02-23 16:05:00,adjuster,-0.268,66.7,1
MSG009106,CLM200091,2024-03-15 16:14:00,adjuster,-0.109,167.6,0
MSG009107,CLM200091,2024-03-08 07:02:00,,-0.424,178.3,1
MSG009108,CLM200091,2024-02-20 14:48:00,adjuster,-0.534,48.6,1
MSG009200,CLM200092,2024-04-03 08:45:00,claimant,0.137,68.3,0
MSG009201,CLM200092,2024-03-11 08:25:00,adjuster,0.275,240.7,0
MSG009300,CLM200093,2024-10-12 01:23:00,adjuster,-0.699,16.5,0
MSG009301,CLM200093,2024-10-30 02:25:00,claimant,-0.246,145.3,0
MSG009302,CLM200093,2024-10-26 08:29:00,claimant,-0.05,142.3,0
MSG009303,CLM200093,2024-10-28 19:14:00,adjuster,-0.276,363.3,0
MSG009304,CLM200093,2024-10-14 06:05:00,insured,-0.42,135.4,0
MSG009400,CLM200094,2024-02-28 20:49:00,insured,-0.436,81.9,1
MSG009500,CLM200095,2024-05-19 12:39:00,attorney,0.048,26.5,0
MSG009501,CLM200095,2024-04-18 01:58:00,insured,-0.423,58.3,1
MSG009502,CLM200095,2024-05-03 10:46:00,insured,-0.408,279.8,1
MSG009503,CLM200095,2024-05-01 08:09:00,claimant,-0.691,320.9,0
MSG009504,CLM200095,2024-04-26 07:04:00,attorney,-0.887,249.7,0
MSG009505,CLM200095,2024-04-30 06:24:00,insured,-0.085,65.9,0
MSG009506,CLM200095,2024-04-22 07:36:00,attorney,-0.495,131.0,0
MSG009600,CLM200096,2024-06-13 06:38:00,claimant,-0.071,23.0,0
MSG009601,CLM200096,2024-07-13 11:34:00,adjuster,-0.188,118.2,0
MSG009602,CLM200096,2024-06-24 21:27:00,claimant,0.002,192.9,0
MSG009700,CLM200097,2024-04-03 03:17:00,claimant,0.387,90.5,0
MSG009701,CLM200097,2024-03-03 13:00:00,claimant,0.326,103.6,0
MSG009702,CLM200097,2024-03-16 08:05:00,claimant,0.077,176.0,0
MSG009800,CLM200098,2024-05-28 08:17:00,claimant,0.022,195.9,0
MSG009801,CLM200098,2024-05-16 19:57:00,insured,0.025,90.8,0
MSG009802,CLM200098,2024-05-20 06:28:00,claimant,-0.093,77.6,0
MSG009900,CLM200099,2024-10-11 07:20:00,claimant,-0.113,27.5,0
MSG009901,CLM200099,2024-09-22 23:22:00,adjuster,0.554,133.6,1
MSG009902,CLM200099,2024-10-18 21:05:00,adjuster,-0.389,50.0,0
MSG009903,CLM200099,2024-09-23 02:00:00,adjuster,-0.383,126.2,0
MSG009904,CLM200099,2024-09-10 17:29:00,adjuster,-0.173,92.5,0
MSG010000,CLM200100,2025-01-22 10:12:00,adjuster,0.216,57.7,0
MSG010001,CLM200100,2024-12-29 11:51:00,adjuster,0.134,66.8,0
MSG010002,CLM200100,2025-01-13 09:07:00,claimant,-0.045,28.5,0
MSG010100,CLM200101,2024-06-23 06:28:00,claimant,-0.242,193.1,1
MSG010200,CLM200102,2024-10-04 20:01:00,insured,0.176,118.3,0
MSG010300,CLM200103,2024-07-28 00:21:00,claimant,0.082,175.2,0
MSG010301,CLM200103,2024-08-09 04:15:00,adjuster,0.116,214.2,0
MSG010400,CLM200104,2024-07-23 23:27:00,claimant,-0.538,66.4,1
MSG010401,CLM200104,2024-07-11 02:01:00,claimant,-0.025,60.4,0
MSG010402,CLM200104,2024-06-23 18:56:00,claimant,0.137,109.1,0
MSG010403,CLM200104,2024-06-24 19:20:00,claimant,0.26,8.9,0
MSG010404,CLM200104,2024-07-09 11:14:00,adjuster,-0.58,76.1,0
MSG010405,CLM200104,2024-07-28 21:28:00,adjuster,-0.088,124.7,0
MSG010500,CLM200105,2024-08-11 23:55:00,adjuster,-0.307,85.9,0
MSG010600,CLM200106,2024-12-31 02:42:00,adjuster,0.001,100.6,0
MSG010601,CLM200106,2024-12-26 16:47:00,adjuster,-0.276,148.0,0
MSG010602,CLM200106,2025-01-05 15:15:00,claimant,0.149,152.2,0
MSG010603,CLM200106,2025-01-08 01:59:00,adjuster,0.428,58.0,0
MSG010604,CLM200106,2025-01-03 01:06:00,claimant,-0.524,106.6,0
MSG010700,CLM200107,2024-03-03 23:10:00,adjuster,0.561,29.4,1
MSG010800,CLM200108,2024-08-15 15:00:00,claimant,-0.393,140.1,0
MSG010801,CLM200108,2024-07-16 20:34:00,claimant,-0.209,54.7,0
MSG010802,CLM200108,2024-07-25 14:54:00,adjuster,-0.59,15.3,0
