fnol_id,claim_id,reporting_channel,description_of_loss,police_report_flag,witness_flag,loss_location,weather_condition,point_of_impact,injury_reported_at_fnol
FNOL300032,CLM200032,agent,rear end accident with night clear conditions,1,0.0,intersection,clear,right_side,0
FNOL300033,CLM200033,agent,front end accident with fog conditions,0,0.0,urban_arterial,night_clear,left_side,0
FNOL300034,CLM200034,phone,right side accident with clear conditions,0,0.0,residential_street,clear,left_side,0
FNOL300035,CLM200035,phone,rear end accident with night clear conditions,0,0.0,urban_arterial,clear,multi_point,0
FNOL300036,CLM200036,web_portal,left side accident with clear conditions,0,0.0,intersection,fog,front_end,0
FNOL300037,CLM200037,agent,rear end accident with rain conditions,1,1.0,intersection,clear,right_side,0
FNOL300038,CLM200038,phone,left side accident with fog conditions,1,0.0,parking_lot,rain,rear_end,0
FNOL300039,CLM200039,mobile_app,rear end accident with rain conditions,0,0.0,residential_street,rain,left_side,1
FNOL300040,CLM200040,agent,right side accident with fog conditions,0,0.0,parking_lot,night_clear,multi_point,0
FNOL300041,CLM200041,phone,left side accident with wind conditions,1,1.0,residential_street,night_clear,rear_end,1
FNOL300042,CLM200042,phone,multi point accident with fog conditions,0,0.0,highway,clear,rear_end,0
FNOL300043,CLM200043,phone,rear end accident with fog conditions,0,0.0,intersection,fog,right_side,0
FNOL300044,CLM200044,phone,multi point accident with wind conditions,0,0.0,residential_street,rain,right_side,0
FNOL300045,CLM200045,mobile_app,left side accident with wind conditions,0,0.0,highway,clear,right_side,0
FNOL300046,CLM200046,phone,left side accident with wind conditions,1,1.0,parking_lot,rain,multi_point,0
FNOL300047,CLM200047,web_portal,right side accident with fog conditions,0,0.0,urban_arterial,night_clear,rear_end,1
FNOL300048,CLM200048,phone,right side accident with fog conditions,0,1.0,parking_lot,wind,left_side,0
FNOL300049,CLM200049,agent,multi point accident with rain conditions,1,1.0,residential_street,rain,left_side,0
FNOL300050,CLM200050,phone,multi point accident with fog conditions,1,0.0,parking_lot,clear,rear_end,0
FNOL300051,CLM200051,agent,front end accident with clear conditions,1,1.0,urban_arterial,rain,rear_end,0
FNOL300052,CLM200052,phone,front end accident with clear conditions,1,0.0,parking_lot,rain,left_side,0
FNOL300053,CLM200053,web_portal,multi point accident with night clear conditions,0,0.0,parking_lot,rain,left_side,0
FNOL300054,CLM200054,phone,multi point accident with night clear conditions,1,0.0,parking_lot,night_clear,left_side,0
FNOL300055,CLM200055,mobile_app,multi point accident with rain conditions,0,0.0,residential_street,night_clear,front_end,0
FNOL300056,CLM200056,phone,multi point accident with fog conditions,1,0.0,parking_lot,night_clear,left_side,1
FNOL300057,CLM200057,phone,right side accident with night clear conditions,0,0.0,residential_street,wind,rear_end,1
FNOL300058,CLM200058,web_portal,multi point accident with fog conditions,0,0.0,urban_arterial,rain,rear_end,1
FNOL300059,CLM200059,phone,right side accident with clear conditions,0,0.0,urban_arterial,clear,left_side,0
FNOL300060,CLM200060,agent,multi point accident with fog conditions,1,0.0,highway,night_clear,left_side,0
FNOL300061,CLM200061,mobile_app,left side accident with night clear conditions,0,0.0,intersection,rain,right_side,0
FNOL300062,CLM200062,phone,multi point accident with rain conditions,0,0.0,highway,clear,front_end,0
FNOL300063,CLM200063,agent,rear end accident with night clear conditions,1,0.0,parking_lot,clear,right_side,0
FNOL300064,CLM200064,phone,multi point accident with wind conditions,1,0.0,parking_lot,night_clear,multi_point,0
FNOL300065,CLM200065,agent,multi point accident with clear conditions,0,1.0,highway,clear,front_end,0
FNOL300066,CLM200066,phone,right side accident with night clear conditions,0,1.0,urban_arterial,wind,front_end,0
FNOL300067,CLM200067,mobile_app,multi point accident with wind conditions,0,0.0,highway,rain,multi_point,0
FNOL300068,CLM200068,agent,left side accident with rain conditions,0,0.0,highway,clear,rear_end,0
FNOL300069,CLM200069,phone,front end accident with wind conditions,1,0.0,urban_arterial,night_clear,right_side,0
FNOL300070,CLM200070,web_portal,rear end accident with night clear conditions,1,,intersection,night_clear,left_side,0
FNOL300071,CLM200071,phone,rear end accident with wind conditions,0,0.0,intersection,clear,front_end,0
FNOL300072,CLM200072,web_portal,multi point accident with night clear conditions,0,1.0,urban_arterial,clear,right_side,0
FNOL300073,CLM200073,phone,rear end accident with night clear conditions,0,0.0,urban_arterial,rain,rear_end,0
FNOL300074,CLM200074,phone,front end accident with rain conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300075,CLM200075,phone,left side accident with clear conditions,0,0.0,intersection,clear,rear_end,0
FNOL300076,CLM200076,web_portal,front end accident with night clear conditions,0,1.0,intersection,night_clear,right_side,0
FNOL300077,CLM200077,agent,multi point accident with night clear conditions,0,0.0,intersection,clear,rear_end,0
FNOL300078,CLM200078,agent,rear end accident with rain conditions,0,0.0,residential_street,rain,left_side,0
FNOL300079,CLM200079,web_portal,rear end accident with fog conditions,0,0.0,intersection,clear,rear_end,1
FNOL300080,CLM200080,agent,front end accident with fog conditions,0,1.0,highway,clear,front_end,0
FNOL300081,CLM200081,agent,right side accident with rain conditions,0,0.0,urban_arterial,clear,front_end,0
FNOL300082,CLM200082,mobile_app,front end accident with fog conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300083,CLM200083,phone,multi point accident with fog conditions,1,0.0,residential_street,wind,front_end,1
FNOL300084,CLM200084,web_portal,rear end accident with night clear conditions,0,1.0,intersection,night_clear,rear_end,1
FNOL300085,CLM200085,phone,front end accident with rain conditions,1,0.0,parking_lot,rain,rear_end,0
FNOL300086,CLM200086,agent,right side accident with clear conditions,0,0.0,intersection,night_clear,front_end,0
FNOL300087,CLM200087,phone,right side accident with fog conditions,1,0.0,highway,clear,left_side,0
FNOL300088,CLM200088,phone,left side accident with clear conditions,0,0.0,highway,rain,rear_end,0
FNOL300089,CLM200089,agent,left side accident with clear conditions,0,0.0,parking_lot,night_clear,rear_end,0
FNOL300090,CLM200090,phone,rear end accident with wind conditions,0,0.0,residential_street,rain,front_end,0
FNOL300091,CLM200091,agent,rear end accident with night clear conditions,0,0.0,urban_arterial,night_clear,multi_point,0
FNOL300092,CLM200092,agent,rear end accident with clear conditions,0,0.0,highway,rain,left_side,0
FNOL300093,CLM200093,mobile_app,left side accident with rain conditions,0,0.0,intersection,night_clear,multi_point,1
FNOL300094,CLM200094,web_portal,multi point accident with clear conditions,0,0.0,intersection,clear,front_end,0
FNOL300095,CLM200095,phone,rear end accident with fog conditions,1,0.0,parking_lot,clear,right_side,1
FNOL300096,CLM200096,phone,rear end accident with fog conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300097,CLM200097,agent,right side accident with night clear conditions,1,1.0,intersection,night_clear,left_side,1
FNOL300098,CLM200098,phone,left side accident with night clear conditions,0,0.0,urban_arterial,clear,rear_end,0
FNOL300099,CLM200099,phone,front end accident with night clear conditions,0,0.0,residential_street,clear,right_side,1
FNOL300100,CLM200100,phone,rear end accident with fog conditions,1,0.0,residential_street,night_clear,right_side,1
FNOL300101,CLM200101,web_portal,multi point accident with wind conditions,0,0.0,intersection,rain,right_side,0
FNOL300102,CLM200102,web_portal,right side accident with rain conditions,0,0.0,urban_arterial,clear,rear_end,0
FNOL300103,CLM200103,phone,left side accident with clear conditions,0,1.0,intersection,clear,left_side,0
FNOL300104,CLM200104,phone,front end accident with night clear conditions,0,0.0,parking_lot,wind,right_side,1
FNOL300105,CLM200105,agent,multi point accident with night clear conditions,1,0.0,urban_arterial,night_clear,rear_end,0
FNOL300106,CLM200106,phone,rear end accident with clear conditions,0,0.0,residential_street,wind,rear_end,0
FNOL300107,CLM200107,phone,right side accident with clear conditions,0,0.0,urban_arterial,clear,left_side,0
FNOL300108,CLM200108,phone,right side accident with night clear conditions,0,0.0,residential_street,rain,rear_end,1
FNOL300109,CLM200109,web_portal,right side accident with fog conditions,0,0.0,residential_street,clear,rear_end,1
FNOL300110,CLM200110,phone,right side accident with wind conditions,0,0.0,parking_lot,night_clear,multi_point,0
FNOL300111,CLM200111,phone,front end accident with night clear conditions,0,0.0,residential_street,wind,multi_point,1
FNOL300112,CLM200112,mobile_app,left side accident with fog conditions,0,0.0,intersection,night_clear,front_end,0
FNOL300113,CLM200113,phone,left side accident with clear conditions,0,1.0,highway,rain,multi_point,0
FNOL300114,CLM200114,agent,multi point accident with wind conditions,1,0.0,intersection,clear,right_side,1
FNOL300115,CLM200115,agent,right side accident with clear conditions,0,1.0,intersection,wind,left_side,0
FNOL300116,CLM200116,web_portal,left side accident with wind conditions,1,0.0,parking_lot,rain,right_side,0
FNOL300117,CLM200117,phone,right side accident with fog conditions,0,0.0,highway,clear,multi_point,0
FNOL300118,CLM200118,phone,multi point accident with fog conditions,0,0.0,intersection,wind,right_side,0
FNOL300119,CLM200119,mobile_app,right side accident with fog conditions,1,0.0,intersection,clear,rear_end,0
FNOL300120,CLM200120,phone,front end accident with night clear conditions,0,0.0,intersection,wind,rear_end,0
FNOL300121,CLM200121,web_portal,rear end accident with rain conditions,0,0.0,urban_arterial,fog,front_end,0
FNOL300122,CLM200122,phone,multi point accident with night clear conditions,0,0.0,intersection,clear,rear_end,0
FNOL300123,CLM200123,web_portal,rear end accident with night clear conditions,0,1.0,urban_arterial,wind,rear_end,1
FNOL300124,CLM200124,phone,left side accident with night clear conditions,0,0.0,residential_street,clear,front_end,1
FNOL300125,CLM200125,mobile_app,rear end accident with night clear conditions,0,0.0,parking_lot,rain,rear_end,0
FNOL300126,CLM200126,phone,multi point accident with wind conditions,0,1.0,highway,night_clear,rear_end,0
FNOL300127,CLM200127,phone,rear end accident with night clear conditions,0,0.0,highway,night_clear,right_side,0
FNOL300128,CLM200128,mobile_app,right side accident with wind conditions,0,1.0,residential_street,clear,rear_end,0
FNOL300129,CLM200129,mobile_app,right side accident with clear conditions,0,0.0,highway,fog,left_side,0
FNOL300130,CLM200130,agent,right side accident with clear conditions,1,0.0,residential_street,rain,left_side,0
FNOL300131,CLM200131,phone,left side accident with wind conditions,0,0.0,urban_arterial,night_clear,multi_point,1
FNOL300132,CLM200132,phone,left side accident with fog conditions,0,1.0,highway,clear,rear_end,0
FNOL300133,CLM200133,mobile_app,left side accident with night clear conditions,0,0.0,residential_street,rain,rear_end,0
FNOL300134,CLM200134,phone,right side accident with fog conditions,0,0.0,intersection,clear,left_side,1
FNOL300135,CLM200135,agent,rear end accident with rain conditions,0,0.0,residential_street,night_clear,left_side,0
FNOL300136,CLM200136,phone,multi point accident with night clear conditions,1,1.0,highway,night_clear,right_side,1
FNOL300137,CLM200137,agent,right side accident with fog conditions,1,0.0,intersection,clear,rear_end,0
FNOL300138,CLM200138,web_portal,multi point accident with night clear conditions,0,0.0,intersection,rain,rear_end,0
FNOL300139,CLM200139,phone,rear end accident with clear conditions,1,0.0,parking_lot,clear,rear_end,0
FNOL300140,CLM200140,phone,front end accident with clear conditions,0,0.0,residential_street,clear,right_side,1
FNOL300141,CLM200141,mobile_app,front end accident with clear conditions,0,0.0,highway,clear,rear_end,0
FNOL300142,CLM200142,mobile_app,left side accident with night clear conditions,1,1.0,parking_lot,night_clear,rear_end,0
FNOL300143,CLM200143,phone,multi point accident with clear conditions,0,0.0,intersection,clear,left_side,0
FNOL300144,CLM200144,mobile_app,right side accident with wind conditions,0,0.0,intersection,rain,rear_end,0
FNOL300145,CLM200145,web_portal,right side accident with wind conditions,1,1.0,urban_arterial,night_clear,rear_end,0
FNOL300146,CLM200146,mobile_app,front end accident with night clear conditions,0,0.0,highway,clear,rear_end,0
FNOL300147,CLM200147,mobile_app,rear end accident with wind conditions,0,0.0,intersection,rain,right_side,0
FNOL300148,CLM200148,agent,right side accident with clear conditions,1,0.0,intersection,night_clear,left_side,0
FNOL300149,CLM200149,mobile_app,rear end accident with clear conditions,1,0.0,parking_lot,night_clear,front_end,0
FNOL300150,CLM200150,phone,front end accident with clear conditions,0,0.0,urban_arterial,clear,front_end,0
FNOL300151,CLM200151,phone,left side accident with fog conditions,0,1.0,parking_lot,clear,multi_point,0
FNOL300152,CLM200152,phone,right side accident with fog conditions,1,1.0,residential_street,wind,rear_end,1
FNOL300153,CLM200153,phone,right side accident with clear conditions,0,0.0,highway,clear,rear_end,0
FNOL300154,CLM200154,phone,rear end accident with clear conditions,1,0.0,highway,rain,right_side,1
FNOL300155,CLM200155,web_portal,front end accident with rain conditions,0,1.0,highway,clear,front_end,1
FNOL300156,CLM200156,phone,multi point accident with fog conditions,0,0.0,residential_street,night_clear,multi_point,0
FNOL300157,CLM200157,web_portal,left side accident with night clear conditions,0,0.0,urban_arterial,clear,left_side,0
FNOL300158,CLM200158,phone,right side accident with night clear conditions,0,0.0,residential_street,rain,right_side,1
FNOL300159,CLM200159,phone,front end accident with fog conditions,0,0.0,urban_arterial,wind,left_side,1
FNOL300160,CLM200160,phone,multi point accident with rain conditions,0,0.0,highway,clear,rear_end,0
FNOL300161,CLM200161,mobile_app,left side accident with wind conditions,1,1.0,intersection,rain,multi_point,0
FNOL300162,CLM200162,phone,rear end accident with night clear conditions,0,0.0,parking_lot,night_clear,front_end,0
FNOL300163,CLM200163,phone,right side accident with rain conditions,0,0.0,urban_arterial,fog,rear_end,0
FNOL300164,CLM200164,mobile_app,front end accident with fog conditions,0,1.0,parking_lot,clear,rear_end,1
FNOL300165,CLM200165,phone,multi point accident with clear conditions,1,1.0,urban_arterial,night_clear,rear_end,1
FNOL300166,CLM200166,phone,right side accident with clear conditions,0,1.0,residential_street,clear,rear_end,0
FNOL300167,CLM200167,phone,rear end accident with night clear conditions,1,1.0,highway,clear,rear_end,1
FNOL300168,CLM200168,phone,rear end accident with rain conditions,0,1.0,intersection,clear,rear_end,0
FNOL300169,CLM200169,phone,rear end accident with clear conditions,0,0.0,urban_arterial,fog,multi_point,0
FNOL300170,CLM200170,phone,front end accident with rain conditions,0,1.0,intersection,clear,left_side,0
FNOL300171,CLM200171,mobile_app,rear end accident with rain conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300172,CLM200172,mobile_app,right side accident with rain conditions,0,0.0,highway,rain,rear_end,1
FNOL300173,CLM200173,agent,rear end accident with wind conditions,0,0.0,intersection,clear,right_side,0
FNOL300174,CLM200174,agent,left side accident with fog conditions,0,0.0,highway,wind,right_side,0
FNOL300175,CLM200175,phone,front end accident with fog conditions,1,1.0,parking_lot,rain,rear_end,1
FNOL300176,CLM200176,phone,right side accident with night clear conditions,0,1.0,intersection,rain,multi_point,1
FNOL300177,CLM200177,agent,rear end accident with night clear conditions,0,0.0,highway,clear,rear_end,0
FNOL300178,CLM200178,phone,left side accident with rain conditions,0,1.0,urban_arterial,night_clear,rear_end,1
FNOL300179,CLM200179,mobile_app,multi point accident with night clear conditions,0,0.0,intersection,clear,rear_end,0
FNOL300180,CLM200180,web_portal,front end accident with wind conditions,1,0.0,urban_arterial,clear,multi_point,0
FNOL300181,CLM200181,mobile_app,multi point accident with clear conditions,0,0.0,intersection,clear,right_side,0
FNOL300182,CLM200182,phone,rear end accident with rain conditions,0,0.0,highway,night_clear,left_side,0
FNOL300183,CLM200183,phone,right side accident with rain conditions,0,0.0,highway,rain,front_end,0
FNOL300184,CLM200184,phone,front end accident with wind conditions,0,0.0,highway,clear,rear_end,1
FNOL300185,CLM200185,phone,front end accident with wind conditions,0,1.0,residential_street,clear,rear_end,0
FNOL300186,CLM200186,phone,left side accident with wind conditions,0,0.0,intersection,rain,rear_end,1
FNOL300187,CLM200187,web_portal,right side accident with clear conditions,0,0.0,highway,clear,right_side,0
FNOL300188,CLM200188,phone,left side accident with fog conditions,1,0.0,residential_street,rain,left_side,0
FNOL300189,CLM200189,phone,left side accident with fog conditions,0,0.0,highway,clear,front_end,0
FNOL300190,CLM200190,phone,front end accident with wind conditions,0,1.0,urban_arterial,clear,multi_point,0
FNOL300191,CLM200191,agent,right side accident with rain conditions,0,0.0,highway,wind,rear_end,0
FNOL300192,CLM200192,phone,rear end accident with clear conditions,0,1.0,residential_street,rain,rear_end,0
FNOL300193,CLM200193,phone,rear end accident with night clear conditions,0,0.0,residential_street,clear,rear_end,1
FNOL300194,CLM200194,mobile_app,rear end accident with fog conditions,0,0.0,highway,clear,multi_point,0
FNOL300195,CLM200195,phone,multi point accident with night clear conditions,1,0.0,intersection,night_clear,rear_end,0
FNOL300196,CLM200196,phone,right side accident with fog conditions,0,0.0,highway,night_clear,rear_end,0
FNOL300197,CLM200197,phone,front end accident with rain conditions,0,0.0,intersection,wind,rear_end,0
FNOL300198,CLM200198,agent,right side accident with fog conditions,0,0.0,urban_arterial,night_clear,multi_point,1
FNOL300199,CLM200199,mobile_app,front end accident with clear conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300200,CLM200200,mobile_app,right side accident with fog conditions,0,1.0,highway,clear,left_side,0
FNOL300201,CLM200201,agent,front end accident with night clear conditions,0,1.0,residential_street,clear,right_side,1
FNOL300202,CLM200202,mobile_app,right side accident with rain conditions,1,0.0,intersection,clear,left_side,1
FNOL300203,CLM200203,phone,front end accident with clear conditions,0,0.0,parking_lot,night_clear,rear_end,0
FNOL300204,CLM200204,mobile_app,rear end accident with clear conditions,1,1.0,highway,clear,rear_end,1
FNOL300205,CLM200205,mobile_app,multi point accident with clear conditions,1,0.0,parking_lot,rain,rear_end,0
FNOL300206,CLM200206,phone,right side accident with rain conditions,0,0.0,highway,clear,right_side,0
FNOL300207,CLM200207,web_portal,right side accident with rain conditions,0,0.0,urban_arterial,night_clear,right_side,0
FNOL300208,CLM200208,phone,right side accident with wind conditions,0,0.0,parking_lot,night_clear,rear_end,1
FNOL300209,CLM200209,phone,multi point accident with rain conditions,0,0.0,intersection,wind,front_end,0
FNOL300210,CLM200210,phone,rear end accident with rain conditions,0,0.0,urban_arterial,clear,rear_end,0
FNOL300211,CLM200211,phone,multi point accident with clear conditions,0,0.0,parking_lot,night_clear,front_end,0
FNOL300212,CLM200212,agent,left side accident with fog conditions,0,0.0,intersection,night_clear,rear_end,0
FNOL300213,CLM200213,mobile_app,left side accident with rain conditions,1,0.0,residential_street,fog,multi_point,1
FNOL300214,CLM200214,phone,multi point accident with wind conditions,1,0.0,residential_street,rain,front_end,1
FNOL300215,CLM200215,mobile_app,multi point accident with clear conditions,1,1.0,urban_arterial,clear,rear_end,0
FNOL300216,CLM200216,agent,front end accident with wind conditions,0,0.0,urban_arterial,wind,front_end,0
FNOL300217,CLM200217,phone,multi point accident with night clear conditions,1,0.0,highway,night_clear,multi_point,0
FNOL300218,CLM200218,mobile_app,rear end accident with wind conditions,0,1.0,parking_lot,clear,rear_end,1
FNOL300219,CLM200219,web_portal,rear end accident with rain conditions,0,0.0,highway,clear,right_side,0
FNOL300220,CLM200220,phone,front end accident with wind conditions,1,0.0,residential_street,clear,front_end,0
FNOL300221,CLM200221,mobile_app,front end accident with night clear conditions,1,0.0,residential_street,night_clear,left_side,0
FNOL300222,CLM200222,web_portal,right side accident with fog conditions,1,0.0,urban_arterial,rain,front_end,0
FNOL300223,CLM200223,agent,left side accident with wind conditions,0,0.0,parking_lot,night_clear,right_side,0
FNOL300224,CLM200224,agent,multi point accident with night clear conditions,0,0.0,parking_lot,rain,left_side,0
FNOL300225,CLM200225,agent,right side accident with fog conditions,1,0.0,residential_street,clear,front_end,0
FNOL300226,CLM200226,phone,right side accident with clear conditions,0,0.0,residential_street,rain,right_side,0
FNOL300227,CLM200227,agent,right side accident with night clear conditions,0,1.0,highway,clear,rear_end,0
FNOL300228,CLM200228,web_portal,left side accident with rain conditions,1,0.0,residential_street,rain,rear_end,0
FNOL300229,CLM200229,phone,front end accident with rain conditions,0,0.0,parking_lot,rain,rear_end,0
FNOL300230,CLM200230,agent,rear end accident with wind conditions,0,0.0,parking_lot,rain,left_side,1
FNOL300231,CLM200231,agent,multi point accident with clear conditions,0,0.0,parking_lot,clear,right_side,0
FNOL300232,CLM200232,web_portal,front end accident with rain conditions,0,0.0,urban_arterial,rain,left_side,0
FNOL300233,CLM200233,phone,right side accident with fog conditions,0,0.0,parking_lot,night_clear,front_end,0
FNOL300234,CLM200234,phone,right side accident with wind conditions,0,1.0,highway,clear,rear_end,0
FNOL300235,CLM200235,agent,front end accident with clear conditions,0,1.0,urban_arterial,night_clear,multi_point,1
FNOL300236,CLM200236,agent,rear end accident with night clear conditions,0,1.0,urban_arterial,rain,rear_end,0
FNOL300237,CLM200237,phone,right side accident with rain conditions,0,0.0,intersection,rain,rear_end,0
FNOL300238,CLM200238,phone,front end accident with night clear conditions,1,0.0,parking_lot,clear,right_side,0
FNOL300239,CLM200239,mobile_app,multi point accident with night clear conditions,0,0.0,intersection,clear,multi_point,0
FNOL300240,CLM200240,phone,left side accident with wind conditions,1,0.0,residential_street,wind,rear_end,0
FNOL300241,CLM200241,mobile_app,front end accident with night clear conditions,0,0.0,intersection,night_clear,front_end,0
FNOL300242,CLM200242,agent,right side accident with clear conditions,0,0.0,residential_street,rain,right_side,0
FNOL300243,CLM200243,phone,front end accident with fog conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300244,CLM200244,web_portal,right side accident with clear conditions,1,0.0,urban_arterial,wind,multi_point,1
FNOL300245,CLM200245,mobile_app,right side accident with fog conditions,0,0.0,parking_lot,night_clear,rear_end,0
FNOL300246,CLM200246,phone,multi point accident with fog conditions,0,0.0,residential_street,fog,front_end,0
FNOL300247,CLM200247,phone,left side accident with fog conditions,0,1.0,highway,clear,rear_end,0
FNOL300248,CLM200248,mobile_app,rear end accident with clear conditions,1,0.0,urban_arterial,rain,rear_end,0
FNOL300249,CLM200249,web_portal,rear end accident with clear conditions,0,0.0,highway,night_clear,rear_end,0
FNOL300250,CLM200250,mobile_app,rear end accident with night clear conditions,0,1.0,urban_arterial,clear,rear_end,1
FNOL300251,CLM200251,agent,multi point accident with rain conditions,0,0.0,residential_street,clear,multi_point,0
FNOL300252,CLM200252,phone,front end accident with fog conditions,0,1.0,residential_street,fog,front_end,0
FNOL300253,CLM200253,agent,front end accident with fog conditions,0,0.0,intersection,rain,rear_end,0
FNOL300254,CLM200254,mobile_app,right side accident with clear conditions,1,1.0,residential_street,clear,front_end,0
FNOL300255,CLM200255,phone,front end accident with rain conditions,1,0.0,parking_lot,rain,rear_end,0
FNOL300256,CLM200256,phone,multi point accident with wind conditions,0,0.0,parking_lot,night_clear,left_side,0
FNOL300257,CLM200257,phone,multi point accident with rain conditions,0,0.0,parking_lot,night_clear,front_end,0
FNOL300258,CLM200258,phone,left side accident with wind conditions,1,0.0,highway,clear,front_end,0
FNOL300259,CLM200259,agent,right side accident with wind conditions,0,,highway,night_clear,left_side,0
FNOL300260,CLM200260,web_portal,front end accident with night clear conditions,0,0.0,urban_arterial,rain,front_end,0
FNOL300261,CLM200261,phone,left side accident with fog conditions,0,1.0,parking_lot,clear,right_side,0
FNOL300262,CLM200262,phone,left side accident with night clear conditions,0,0.0,highway,clear,left_side,0
FNOL300263,CLM200263,mobile_app,front end accident with rain conditions,0,0.0,residential_street,night_clear,rear_end,0
FNOL300264,CLM200264,agent,left side accident with wind conditions,0,0.0,intersection,clear,rear_end,0
FNOL300265,CLM200265,web_portal,rear end accident with night clear conditions,0,0.0,parking_lot,clear,rear_end,0
FNOL300266,CLM200266,phone,right side accident with night clear conditions,0,0.0,highway,fog,multi_point,0
FNOL300267,CLM200267,phone,rear end accident with wind conditions,0,0.0,residential_street,wind,right_side,1
FNOL300268,CLM200268,phone,multi point accident with fog conditions,0,0.0,residential_street,clear,multi_point,0
FNOL300269,CLM200269,mobile_app,multi point accident with fog conditions,0,0.0,intersection,wind,right_side,0
FNOL300270,CLM200270,phone,front end accident with fog conditions,0,0.0,intersection,wind,multi_point,0
FNOL300271,CLM200271,phone,rear end accident with rain conditions,1,0.0,highway,night_clear,rear_end,1
FNOL300272,CLM200272,agent,left side accident with rain conditions,1,0.0,intersection,wind,left_side,0
FNOL300273,CLM200273,phone,rear end accident with wind conditions,1,1.0,urban_arterial,clear,front_end,0
FNOL300274,CLM200274,agent,left side accident with wind conditions,0,0.0,highway,night_clear,right_side,1
FNOL300275,CLM200275,web_portal,right side accident with wind conditions,0,0.0,urban_arterial,rain,multi_point,1
FNOL300276,CLM200276,phone,front end accident with wind conditions,0,1.0,highway,rain,right_side,1
FNOL300277,CLM200277,phone,multi point accident with fog conditions,1,0.0,highway,clear,right_side,0
FNOL300278,CLM200278,mobile_app,rear end accident with fog conditions,1,0.0,highway,rain,multi_point,0
FNOL300279,CLM200279,web_portal,right side accident with wind conditions,1,1.0,urban_arterial,clear,rear_end,0
